role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore
P;Borsellini;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
P;Da Costa;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Donnarumma An.;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Berni;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Gabriel;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Padelli;Inter;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Rafael;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Perisan;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Belec;Sampdoria;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Fulignati;SPAL;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Aresti;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Tozzo;Sampdoria;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Plizzari;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Satalino;Sassuolo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Falcone;Sampdoria;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Santurro;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Poluzzi;SPAL;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Nicolas;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Rossi F.;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Borsellini;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
P;Vodisek;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0
D;De Vrij;Lazio;36;6.25;6.74;6;0;0;0;0;0;1;3;0.0;0.0;2017-2018;0
D;Kolarov;Roma;35;6.29;6.61;2;0;0;0;0;0;7;3;0.0;0.0;2017-2018;0
D;Koulibaly;Napoli;35;6.3;6.63;5;0;0;0;0;0;0;5;0.0;0.0;2017-2018;0
D;Masiello;Atalanta;31;6.26;6.56;4;0;0;0;0;0;0;5;0.0;0.0;2017-2018;0
D;Skriniar;Inter;38;6.28;6.51;4;0;0;0;0;0;0;2;0.0;0.0;2017-2018;0
D;Albiol;Napoli;31;6.24;6.45;3;0;0;0;0;0;1;7;0.0;0.0;2017-2018;0
D;De Silvestri;Torino;35;6.04;6.46;5;0;0;0;0;0;2;3;0.0;0.0;2017-2018;1
D;Romulo;Verona;37;6.01;6.3;3;0;0;2;2;0;5;7;0.0;0.0;2017-2018;0
D;Astori;Fiorentina;25;6.18;6.24;1;0;0;0;0;0;1;5;0.0;0.0;2017-2018;0
D;Alex Sandro;Juventus;26;6.08;6.54;4;0;0;0;0;0;4;8;0.0;0.0;2017-2018;0
D;Martella;Crotone;30;6.05;6.2;1;0;0;0;0;0;3;3;0.0;0.0;2017-2018;0
D;Fazio;Roma;33;6.17;6.26;2;0;0;0;0;0;0;6;0.0;0.0;2017-2018;0
D;N'koulou;Torino;37;6.07;6.18;2;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0
D;Cancelo;Inter;23;6.22;6.39;1;0;0;0;0;0;3;4;0.0;0.0;2017-2018;0
D;Bonucci;Milan;35;5.83;5.9;2;0;0;0;0;0;0;5;0.0;0.0;2017-2018;0
D;Manolas;Roma;29;6.02;6.22;2;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0
D;Acerbi;Sassuolo;38;5.93;5.83;0;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0
D;Ceccherini;Crotone;37;5.8;5.82;1;0;0;0;0;0;1;4;0.0;0.0;2017-2018;0
D;Mario Rui;Napoli;24;6.02;6.23;2;0;0;0;0;0;4;8;0.0;0.0;2017-2018;0
D;Rugani;Juventus;22;6.14;6.39;2;0;0;0;0;0;1;3;0.0;0.0;2017-2018;0
D;Romagnoli;Milan;27;6.04;6.09;2;0;0;0;0;0;0;7;0.0;0.0;2017-2018;0
D;Toloi;Atalanta;30;6.15;6.22;1;0;0;0;0;0;3;6;0.0;0.0;2017-2018;0
D;Hysaj;Napoli;35;5.94;5.91;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0
D;D'ambrosio;Inter;34;5.93;6.1;2;0;0;0;0;0;3;6;0.0;0.0;2017-2018;0
D;Miranda;Inter;31;6.03;5.9;0;0;0;0;0;0;0;8;0.0;0.0;2017-2018;0
D;Chiellini;Juventus;24;6.21;6.21;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0
D;Silvestre;Sampdoria;34;5.96;5.94;1;0;0;0;0;0;0;3;0.0;0.0;2017-2018;0
